physician_id,npi,first_name,last_name,specialty,territory_id,city,state,years_in_practice,medical_school
PH-0564,6185790647,Trevor,Davidson,Family Practice,T-013,Port Nathanielville,AK,22,Williams Inc Medical School
PH-0565,2156321358,Veronica,Villa,Oncology,T-022,West Nicoleton,DE,28,Valentine Inc Medical School
PH-0566,4596422971,David,Atkins,Internal Medicine,T-009,Walshville,NC,15,"Allen, Woods and Henry Medical School"
PH-0567,4573144158,Mary,Sanchez,Neurology,T-008,Lake Christian,NM,24,Lewis Ltd Medical School
PH-0568,3763715398,Willie,Edwards,Family Practice,T-026,Jeanetteberg,PR,27,"Garcia, Anderson and Rangel Medical School"
PH-0569,6798363146,Frank,Parker,Hematology,T-024,East Stevenville,WA,19,Allen Group Medical School
PH-0570,2407875418,Christopher,Reynolds,Geriatrics,T-039,South Wayne,NY,10,Brown-Nelson Medical School
PH-0571,1066343629,Joshua,Lawson,Oncology,T-019,Rodriguezton,SD,36,Haley and Sons Medical School
PH-0572,1009431814,Jeremy,Oliver,Internal Medicine,T-005,Myersville,IN,35,"Holloway, Holt and Simpson Medical School"
PH-0573,2354940128,Rebecca,Howell,Geriatrics,T-033,Melissabury,GA,21,Maldonado-Jackson Medical School
PH-0574,5720765024,Nicole,Jackson,Cardiology,T-037,New Michaelfort,OR,15,Freeman and Sons Medical School
PH-0575,7100943882,Kari,Rowe,Internal Medicine,T-007,West Lindamouth,NV,32,Navarro-Fritz Medical School
PH-0576,4745705458,Kim,Vincent,Neurology,T-009,Rodriguezhaven,VA,14,"Smith, Irwin and Chase Medical School"
PH-0577,2570396531,James,Blevins,Neurology,T-025,West Natalieside,MH,2,Archer-Liu Medical School
PH-0578,2455696443,Blake,Meyer,Internal Medicine,T-007,Maryville,NE,21,Knight-Sparks Medical School
PH-0579,5410727284,Cindy,Beck,Pulmonology,T-039,Tommyland,AS,11,Smith-Williams Medical School
PH-0580,4910740650,Brendan,Taylor,General Practice,T-019,Kristenhaven,TN,4,"Moore, Miller and Nelson Medical School"
PH-0581,3691430753,Lisa,Walsh,Gastroenterology,T-032,Rossville,MH,39,Mora-Harper Medical School
PH-0582,2965923426,Angela,Turner,Hematology,T-036,West Ashleymouth,ND,40,Bennett Group Medical School
PH-0583,1287585756,Steven,Ali,Neurology,T-036,Johnsonside,AK,3,Davis-Taylor Medical School
PH-0584,4398529894,Brian,Bruce,Family Practice,T-033,South Elizabeth,NH,6,"Stevens, Brown and Brown Medical School"
PH-0585,1591497501,Joy,Craig,Family Practice,T-004,Lake Jamieberg,OH,13,"Coffey, Taylor and Jacobson Medical School"
PH-0586,2440793110,Eric,Hobbs,Endocrinology,T-002,East Jamesfort,AK,5,"Wallace, Brown and Martinez Medical School"
PH-0587,6723849791,Ryan,Fields,Cardiology,T-032,East Lori,TN,21,Jackson Ltd Medical School
PH-0588,8377441975,Elizabeth,Myers,Internal Medicine,T-008,South Robertchester,FL,3,Campbell Inc Medical School
PH-0589,9609409705,Sydney,Mcdonald,Endocrinology,T-003,Hillburgh,MI,22,"Foley, Gordon and Bailey Medical School"
PH-0590,8681225957,Jennifer,Buchanan,Pulmonology,T-023,Kristenport,MO,2,Hendricks Ltd Medical School
PH-0591,7679298842,Heidi,Chapman,Family Practice,T-035,Breannafurt,CA,34,Johnson Ltd Medical School
PH-0592,2311775331,Rachel,Thompson,Family Practice,T-008,Camposchester,CA,22,Salazar Inc Medical School
PH-0593,0175902517,Nicholas,Zhang,Nephrology,T-036,East Johnny,NV,5,"Mitchell, Harris and Martin Medical School"
PH-0594,8319013020,Michael,Russell,Internal Medicine,T-031,West Jacobhaven,NM,16,Collier PLC Medical School
PH-0595,7855982176,Colleen,Sawyer,Family Practice,T-030,East Kimberlyport,CT,16,Jimenez Inc Medical School
PH-0596,9850344651,Monique,Moore,Cardiology,T-016,Charlesshire,IA,12,"Frederick, Porter and Ross Medical School"
PH-0597,0819740056,Jose,Cook,General Practice,T-003,East Jamesmouth,WV,16,"Gaines, Brown and Snyder Medical School"
PH-0598,9905169918,Timothy,Anderson,Family Practice,T-023,North Austinhaven,IN,28,"Bell, Woods and Harrington Medical School"
PH-0599,3000389608,Timothy,Hughes,General Practice,T-005,Dominguezchester,UT,20,Dunn-Wilson Medical School
PH-0600,1955356033,Christopher,Smith,Emergency Medicine,T-001,Burgessside,OK,30,Ritter Inc Medical School
PH-0601,3010272405,Michael,Rios,Endocrinology,T-006,West David,MO,22,Sandoval-Douglas Medical School
PH-0602,1483753745,Kimberly,Carter,Cardiology,T-039,New Patricia,MD,32,"Weaver, Garcia and Reed Medical School"
PH-0603,6974132834,Judy,Clark,Internal Medicine,T-016,Jennyberg,AZ,12,Hale Ltd Medical School
PH-0604,7107044964,Margaret,Miller,Hematology,T-034,Melissafurt,NM,14,Roy Group Medical School
PH-0605,7033626804,Anthony,Hines,Cardiology,T-023,New Karenmouth,MP,2,Patrick-Garza Medical School
PH-0606,0596601864,Michele,Hurley,Family Practice,T-002,Colemanshire,WI,27,"Green, Horne and Mcdonald Medical School"
PH-0607,3204413845,Ashley,Johnson,Internal Medicine,T-001,Michaelview,WY,11,"Patrick, Franklin and Martinez Medical School"
PH-0608,9542770707,Benjamin,Howard,Oncology,T-023,South Brian,CO,26,Prince-Arnold Medical School
PH-0609,1724447232,Dylan,Williamson,Neurology,T-006,East Dannyton,HI,35,"Hunter, Alexander and Stewart Medical School"
PH-0610,8304405809,Jimmy,Rodriguez,Hematology,T-015,Wilsonland,IA,22,Nguyen LLC Medical School
PH-0611,6164205955,Theresa,Merritt,Nephrology,T-012,Thomasport,RI,38,Martin Inc Medical School
PH-0612,4290193588,Krista,Marquez,Oncology,T-035,South Mariah,AZ,30,"Barber, James and Cuevas Medical School"
PH-0613,1139898681,Melanie,Rose,Geriatrics,T-030,New Thomashaven,NC,14,Stewart-Lee Medical School
PH-0614,9435353751,Heather,Wallace,Oncology,T-016,Coxstad,OH,7,"Jones, Cox and Washington Medical School"
PH-0615,3763928369,Elizabeth,Jacobs,Internal Medicine,T-009,Matthewville,CO,15,Fisher-Lucero Medical School
PH-0616,9732702164,Kathy,Dawson,Family Practice,T-002,Newtonberg,VI,27,Bass Inc Medical School
PH-0617,2128866526,Heidi,Allen,Gastroenterology,T-018,Davidmouth,OR,14,"Jensen, Mcknight and Williams Medical School"
PH-0618,5767647229,Sabrina,Zuniga,General Practice,T-010,East Paulashire,OR,25,Craig-Chavez Medical School
PH-0619,5728941347,Matthew,Elliott,Nephrology,T-033,Mitchellfurt,MD,36,Mckay Inc Medical School
PH-0620,3684995154,Gabriel,Roberts,Neurology,T-001,Gonzalesburgh,LA,16,Zhang-Molina Medical School
PH-0621,3421388209,Rachel,Moyer,Hematology,T-003,North Tracy,GU,35,Wood LLC Medical School
PH-0622,9678274117,Pamela,Snyder,Family Practice,T-025,Port Derrickview,VA,13,"Wilson, Gomez and Miller Medical School"
PH-0623,3152854781,Jasmine,Edwards,Family Practice,T-008,South Craighaven,MD,21,Skinner Ltd Medical School
PH-0624,0032963347,Edward,Cervantes,Cardiology,T-025,Campbellborough,SC,15,Tapia Ltd Medical School
PH-0625,3061789320,Robert,Baker,Hospitalist,T-012,Welchbury,SC,32,Washington-Sandoval Medical School
PH-0626,2434776958,Timothy,Davis,Internal Medicine,T-028,Port Kathrynchester,NV,13,Wright-Coleman Medical School
PH-0627,2751562779,Robert,Young,Hospitalist,T-020,Josephborough,FM,18,Brown-Ingram Medical School
PH-0628,4566766404,Todd,Robinson,Internal Medicine,T-006,West Sethbury,OK,32,Herrera Ltd Medical School
PH-0629,1995298006,Christopher,Bush,Internal Medicine,T-002,Katieside,CA,23,"Williams, Clark and Nichols Medical School"
PH-0630,2863425563,Angela,Wright,Internal Medicine,T-005,North Meganhaven,CT,19,"Sanders, Washington and Moore Medical School"
PH-0631,4033041662,Loretta,Mcdowell,Internal Medicine,T-025,North Charleschester,AK,2,Newton PLC Medical School
PH-0632,9219639456,William,Johnson,Family Practice,T-031,Stephenville,KS,15,"Johnston, Bennett and Jordan Medical School"
PH-0633,3684748836,Andre,Crawford,General Practice,T-019,Beanside,VT,9,Chavez PLC Medical School
PH-0634,0637579145,Douglas,Soto,Internal Medicine,T-009,North Annborough,VI,28,Watkins-Miller Medical School
PH-0635,6978930746,Larry,Morgan,Internal Medicine,T-007,North Marc,OK,16,"Russell, Smith and Vaughn Medical School"
PH-0636,8787535778,Angela,Singh,Gastroenterology,T-033,North Ronaldland,MS,4,Sherman and Sons Medical School
PH-0637,8123710672,Connie,Warren,Neurology,T-040,Lake Morgan,MT,17,Smith-Wilson Medical School
PH-0638,4485959224,Alexandra,Harris,Internal Medicine,T-029,Aprilview,NJ,36,Clark-Rivera Medical School
PH-0639,2287056227,Carlos,Rowland,Endocrinology,T-039,Jacquelineborough,UT,37,Medina LLC Medical School
PH-0640,1097921583,Michael,Smith,Emergency Medicine,T-035,West Justin,PW,7,Silva-Torres Medical School
PH-0641,9648831921,Jessica,Ramirez,Endocrinology,T-022,Anneberg,AS,14,"Matthews, Miranda and Rivera Medical School"
PH-0642,9949732033,Christopher,Pratt,Internal Medicine,T-022,East Fred,VI,5,Morris Inc Medical School
PH-0643,2876754813,Ann,Bennett,Cardiology,T-002,Mccarthystad,ME,27,"Stewart, Miller and Jacobs Medical School"
PH-0644,3242687741,Angela,Graham,Family Practice,T-038,Gregorystad,PR,15,Townsend-Reed Medical School
PH-0645,6398365203,Scott,Fox,Nephrology,T-023,New Lanceville,PW,39,Moon-Shaw Medical School
PH-0646,0940476044,Colleen,Maddox,Neurology,T-013,Port Jenniferfort,PA,21,"Gibson, Thompson and Brady Medical School"
PH-0647,8105092221,Robert,Singleton,Oncology,T-021,South Danaton,MD,18,Hodge LLC Medical School
PH-0648,3905529580,Shelia,Powell,Cardiology,T-032,North Jameshaven,FL,36,"Adams, Thompson and Williams Medical School"
PH-0649,9386204485,David,Owens,Family Practice,T-011,New Sarahland,DE,21,White Inc Medical School
PH-0650,2590203571,Natalie,Harding,Geriatrics,T-026,Maryborough,WA,4,"Anderson, Brown and Mccarthy Medical School"
PH-0651,2429563343,Gregory,Phillips,Geriatrics,T-018,Bakerfort,MI,40,"Cox, Barton and Mills Medical School"
PH-0652,2096289365,Debbie,Fleming,Oncology,T-029,Jaredhaven,OH,29,"Bauer, Davis and Ayala Medical School"
PH-0653,4374018272,Tanner,Morris,Family Practice,T-021,Barrettton,MD,13,"Garcia, Howard and Santana Medical School"
PH-0654,2675512542,Steven,Lopez,Internal Medicine,T-017,South Lisamouth,OR,9,"Neal, Simon and Wells Medical School"
PH-0655,3459576403,Kathryn,Santana,Hospitalist,T-002,South Ronaldview,OK,29,Watkins-Martin Medical School
PH-0656,2498392250,Tara,Parker,Internal Medicine,T-040,Port Michael,MO,21,Murray Ltd Medical School
PH-0657,2324412336,Christopher,Sanchez,Oncology,T-034,Adamburgh,MI,8,Ruiz Ltd Medical School
PH-0658,6376731625,Kathryn,Anderson,Emergency Medicine,T-008,Rachaelchester,PA,15,Ferguson-Reed Medical School
PH-0659,9039235558,Madeline,Bishop,Emergency Medicine,T-023,Melendezbury,DC,24,Lopez-Clark Medical School
PH-0660,6156262446,Emma,Castillo,Emergency Medicine,T-005,Susanchester,HI,32,Sanders PLC Medical School
PH-0661,1715160252,Autumn,Cruz,General Practice,T-023,Smithfurt,NE,37,Turner LLC Medical School
PH-0662,1978575851,Kristen,Pollard,Cardiology,T-008,Bergland,FL,23,Rogers Ltd Medical School
PH-0663,9438976074,Bill,Parrish,Gastroenterology,T-024,Richardsonstad,KS,35,Rogers-Phillips Medical School
PH-0664,0842456075,Kenneth,Johnson,Cardiology,T-005,West Jessicaside,WA,20,Wright-Miller Medical School
PH-0665,1227645793,Samantha,Berger,Rheumatology,T-031,Williamsmouth,MN,36,Thomas Ltd Medical School
PH-0666,1681546602,Stephanie,Scott,Family Practice,T-015,Port Ritaville,WY,19,Duncan LLC Medical School
PH-0667,9883059736,Joshua,Barker,Pulmonology,T-028,West Walter,AZ,5,"Ross, White and Mitchell Medical School"
PH-0668,0630624479,Kristy,Reid,Endocrinology,T-032,East Jeffreymouth,IN,8,Carr Ltd Medical School
PH-0669,9796958678,Alexander,Peterson,Internal Medicine,T-038,Lynnberg,NH,32,"Porter, Patel and Jackson Medical School"
PH-0670,6460917851,Jared,Mercer,Endocrinology,T-017,Kevinmouth,NV,31,"Mcdonald, Moore and Richards Medical School"
PH-0671,9596604873,Nicholas,Medina,Hematology,T-040,Lawsonville,CT,25,Robinson-Gay Medical School
PH-0672,9422686536,Rachel,Ramirez,General Practice,T-015,Crystalmouth,NY,3,"Patel, Perez and Powell Medical School"
PH-0673,7472264085,Kathryn,Douglas,Internal Medicine,T-004,South Bettychester,MT,14,Lopez-Johnson Medical School
PH-0674,3299819960,Mark,Wright,Cardiology,T-025,Cohenstad,AK,10,"Guzman, Clarke and Price Medical School"
PH-0675,8327532735,David,Brown,Oncology,T-012,East Beckymouth,IA,27,"Morrison, Fritz and Robles Medical School"
PH-0676,7819523710,Kaitlyn,Fleming,General Practice,T-013,Camachofort,VI,32,Jones-Butler Medical School
PH-0677,4819807704,Lisa,Clayton,Rheumatology,T-032,West Reginaldhaven,SC,32,"Alexander, Cobb and Garcia Medical School"
PH-0678,4912565237,Jason,Davis,Pulmonology,T-011,South Rachelfort,WV,10,Sherman LLC Medical School
PH-0679,4757494902,Earl,Roberts,Family Practice,T-040,West Anna,VT,18,Parker-Baldwin Medical School
PH-0680,9477422294,Michele,Scott,Internal Medicine,T-025,North Melissa,OR,40,Hernandez-Smith Medical School
PH-0681,5886792529,Melissa,Edwards,Family Practice,T-025,Nicholasfort,SD,22,Harrell Group Medical School
PH-0682,2760153433,Edward,Franklin,Internal Medicine,T-020,Lake Jamesfort,NH,21,"Durham, Escobar and Larsen Medical School"
PH-0683,8335061581,Joseph,Nixon,Pulmonology,T-021,Port Brianshire,NC,35,Sanchez Ltd Medical School
PH-0684,2337209484,Christopher,Lee,Pulmonology,T-030,East Alexandraton,IL,39,Sanchez PLC Medical School
PH-0685,7718051371,Scott,Alvarez,Geriatrics,T-018,New Bridgetfort,ME,21,"Smith, Jordan and Stein Medical School"
PH-0686,7399704694,Travis,Thompson,Rheumatology,T-021,Palmerport,KS,8,"Wright, Hill and Hoffman Medical School"
PH-0687,4712705877,Frank,Jones,Rheumatology,T-007,Chambersville,VI,23,Peterson-Mcdaniel Medical School
PH-0688,2313348458,Thomas,Cohen,Pulmonology,T-011,New Emily,MD,22,Lee Group Medical School
PH-0689,2292587964,Jeremy,Baker,Rheumatology,T-025,Nathanport,MA,22,"Gomez, Mcgee and Cole Medical School"
PH-0690,6966060652,Theresa,Wang,Endocrinology,T-013,Port Janetborough,TN,18,"Scott, Wall and Johnson Medical School"
PH-0691,6658833987,Melissa,Rodriguez,Cardiology,T-021,East Mark,NJ,15,"Watkins, Crane and Arroyo Medical School"
PH-0692,6734996010,Danielle,Hill,Cardiology,T-031,Samuelport,DE,15,Taylor-Brady Medical School
PH-0693,5622949381,Samuel,Murphy,Endocrinology,T-024,Angelaport,UT,13,Taylor Inc Medical School
PH-0694,5573257375,Mason,Byrd,Family Practice,T-037,Jonathantown,DC,33,May Group Medical School
PH-0695,6708085096,Wendy,Moyer,Endocrinology,T-019,Kristyfort,LA,23,"Cook, Jones and Jones Medical School"
PH-0696,1818281979,Debra,Lee,Pulmonology,T-039,Port Gabriellaview,NH,25,Preston-Gamble Medical School
PH-0697,2512957860,Richard,Carter,Hematology,T-008,Smithbury,MD,16,Hernandez-Foley Medical School
PH-0698,9587395923,Kendra,Harris,Oncology,T-005,North Anthony,PA,3,Chan PLC Medical School
PH-0699,5155333426,Vickie,Hall,General Practice,T-040,Port Michael,DC,35,Martinez-Gould Medical School
PH-0700,0736077633,Kelli,Lawrence,Family Practice,T-034,North Tanyahaven,PW,25,"Ramsey, Martinez and Sherman Medical School"
PH-0701,1795563318,Michael,Scott,Nephrology,T-039,South Allenfurt,AS,27,Ross-Mathews Medical School
PH-0702,5541643167,Allen,Brandt,Internal Medicine,T-013,Brandonbury,HI,9,"Smith, Stone and Taylor Medical School"
PH-0703,7009345962,Robert,Thompson,Nephrology,T-022,Lake Lisa,TN,26,Diaz Inc Medical School
PH-0704,2073465495,Anthony,Johnson,Oncology,T-012,South Austinberg,PW,17,Williams-Bennett Medical School
PH-0705,9822105316,Vanessa,Rodriguez,Cardiology,T-034,Marshallchester,PR,20,"Alexander, Vincent and Pacheco Medical School"
PH-0706,0477425859,Elizabeth,Davis,Family Practice,T-031,Goodmanshire,ID,6,Robinson and Sons Medical School
PH-0707,2311649133,John,Blair,Geriatrics,T-037,Markmouth,TN,4,"Meyer, Ray and Stephenson Medical School"
PH-0708,2565290603,Tiffany,Smith,Family Practice,T-004,Port Lauraburgh,MO,20,Smith-Castillo Medical School
PH-0709,5396737948,Scott,Mcgee,Hematology,T-035,Matthewburgh,KS,26,Roman-Freeman Medical School
PH-0710,8715841560,Tami,Martinez,Family Practice,T-021,South Maria,DE,40,"Marquez, Martinez and Bailey Medical School"
PH-0711,7681826832,Mary,Walker,Internal Medicine,T-010,East Jessicastad,NC,38,"Chan, Hart and Schmidt Medical School"
PH-0712,0858382521,Erin,Reid,Internal Medicine,T-020,Port Sarah,VT,17,Fernandez PLC Medical School
PH-0713,6340646867,Taylor,Taylor,Nephrology,T-004,Aaronview,VT,29,"Barnett, Clark and Quinn Medical School"
PH-0714,9106227236,Kristie,Lucas,Neurology,T-024,Vargasbury,MP,37,Jones-Richmond Medical School
PH-0715,4261923724,Kathleen,Smith,Nephrology,T-004,New Larryville,WI,24,"George, Hall and Gonzales Medical School"
PH-0716,1897215406,Mary,Scott,Pulmonology,T-018,Simmonsburgh,FM,19,"Holt, Bauer and Blake Medical School"
PH-0717,3811995376,Robert,Little,Internal Medicine,T-019,Meganview,MH,19,Bowman-Murphy Medical School
PH-0718,4510173973,Brittany,Wade,Cardiology,T-012,Port Margaretfort,OH,30,"Monroe, Bennett and Stone Medical School"
PH-0719,6091919113,Michael,Chambers,General Practice,T-031,Ochoaton,MI,36,"French, Phelps and Berry Medical School"
PH-0720,8066039205,Corey,Knapp,Endocrinology,T-036,Lake Stephenview,MI,30,"Cooper, Beltran and Wright Medical School"
PH-0721,7057423885,Joy,Mullins,Family Practice,T-033,Port Vincent,CO,18,Bell-Medina Medical School
PH-0722,3541165972,Katherine,Harris,Family Practice,T-028,Bellmouth,MH,11,Fischer-Chung Medical School
PH-0723,5013948848,Amanda,Sanders,Rheumatology,T-033,East Clarencefurt,PR,17,Thomas-Peterson Medical School
PH-0724,5626149915,Yvonne,Ramos,Neurology,T-020,East Amyview,AK,27,Walker-Neal Medical School
PH-0725,3337320430,Meredith,Webb,Pulmonology,T-014,Perryside,OK,11,Gutierrez PLC Medical School
PH-0726,9696454655,Rachel,Giles,Rheumatology,T-026,Amberland,UT,16,Morris Ltd Medical School
PH-0727,3892187851,Lindsay,Munoz,Internal Medicine,T-010,Jenniferside,GU,3,Marshall PLC Medical School
PH-0728,0797796120,Ann,Hansen,Cardiology,T-030,West Thomasberg,CA,6,"Gomez, Blevins and Hill Medical School"
PH-0729,4097626374,Amanda,Leonard,Endocrinology,T-019,Jessehaven,MT,35,Miranda Ltd Medical School
PH-0730,9509059119,Bryce,Gutierrez,Family Practice,T-005,Lake James,PA,29,Houston Inc Medical School
PH-0731,7151169666,Heather,Taylor,Family Practice,T-020,Isaacport,MI,21,Mann LLC Medical School
PH-0732,7124633515,Shannon,Davis,Family Practice,T-005,Andrewton,OH,36,Fleming Inc Medical School
PH-0733,2080056409,Anna,Villarreal,Internal Medicine,T-004,East Dana,NM,39,Nichols LLC Medical School
PH-0734,1295927282,Lisa,Wallace,Emergency Medicine,T-035,New Pamelaville,AS,1,Donovan-Rodriguez Medical School
PH-0735,2982173929,Samantha,Pace,Hematology,T-036,Bowersville,TN,6,"Jones, Sanchez and Thomas Medical School"
PH-0736,7360507918,Christopher,Pena,Cardiology,T-031,Shermanborough,LA,20,Taylor-Gallagher Medical School
PH-0737,4666617071,Marc,Webb,Pulmonology,T-036,Torresport,WI,21,"Hale, Rose and Williams Medical School"
PH-0738,1499825080,Brandon,Turner,Cardiology,T-030,West Tamara,AR,22,"Russo, Rodgers and Warren Medical School"
PH-0739,2850317235,Charles,Harris,Internal Medicine,T-035,New Danielle,AL,28,Weeks and Sons Medical School
PH-0740,1403526356,Bradley,Thomas,Hematology,T-010,New Elizabeth,FM,16,Becker-Mckinney Medical School
PH-0741,4346066643,Lisa,Freeman,Family Practice,T-031,Lake Heatherton,UT,25,Anderson-Norris Medical School
PH-0742,1112712852,Sherry,Scott,Hematology,T-009,Mitchellport,LA,36,"Green, Juarez and Foster Medical School"
PH-0743,3187328077,Daniel,Perez,Cardiology,T-020,Lopezland,IA,18,Gilbert-Kim Medical School
PH-0744,2790833509,Alexis,Hernandez,Emergency Medicine,T-021,Sandrastad,NH,4,Valenzuela Inc Medical School
PH-0745,6624813235,Diane,Gonzales,Internal Medicine,T-027,Jonesbury,PA,7,"Roberts, Martin and Payne Medical School"
PH-0746,5011688092,Jennifer,Morris,Cardiology,T-015,East Rachelbury,AL,18,Smith-Brown Medical School
PH-0747,6913098107,Sharon,Newman,Rheumatology,T-011,Ginafurt,NV,20,"Young, Henry and Wright Medical School"
PH-0748,7727853242,Sylvia,Price,Internal Medicine,T-007,Nicolestad,WA,21,Reynolds LLC Medical School
PH-0749,2076836253,Sheri,Fisher,Cardiology,T-014,Murraymouth,NV,37,Ford-Morgan Medical School
PH-0750,6283333939,Michael,Ford,General Practice,T-018,Brooksport,IL,5,Thomas-Rodriguez Medical School
PH-0751,7496033582,Donna,Giles,Pulmonology,T-026,Whitemouth,AK,37,"Clark, Bradley and Jackson Medical School"
PH-0752,9269326573,Miranda,Anderson,Nephrology,T-019,Stewarthaven,WA,25,"Liu, Lowe and Buchanan Medical School"
PH-0753,1000515532,Susan,Parker,Hospitalist,T-012,West Cindymouth,OR,33,Alvarez-Padilla Medical School
PH-0754,4418222618,Renee,Ortiz,Internal Medicine,T-004,Gravesview,UT,7,Cherry Ltd Medical School
PH-0755,2710267672,Katie,Willis,Pulmonology,T-033,Sarahshire,OK,17,West Inc Medical School
PH-0756,7955151229,Kevin,Long,General Practice,T-034,North Victoria,WY,28,"Gonzalez, Walters and Carter Medical School"
PH-0757,1597099625,Melissa,Lee,Gastroenterology,T-039,Tinatown,NM,22,Bullock-Williams Medical School
PH-0758,3447650471,Mason,Johnson,Endocrinology,T-034,Lake Ashleyport,MS,6,Conway Group Medical School
PH-0759,6046558665,David,Reed,Internal Medicine,T-034,Andreafort,LA,1,Miller-Cole Medical School
PH-0760,1581021312,Nathaniel,Moore,Family Practice,T-005,Port Christopher,CA,2,Sharp Ltd Medical School
PH-0761,5912975191,Brian,Taylor,Pulmonology,T-002,East Christopherland,AL,10,Moody-Hall Medical School
PH-0762,0165837379,Jasmin,Harrison,Family Practice,T-039,South Jacksontown,CO,22,Mccann LLC Medical School
PH-0763,2893113253,Francisco,Reid,Internal Medicine,T-040,Carolynhaven,SC,38,Robinson-King Medical School
PH-0764,5380442101,Troy,Orr,Oncology,T-010,New Katelynchester,CO,35,"Duran, Moran and Smith Medical School"
PH-0765,1595919457,Michael,Shepherd,Cardiology,T-032,Victorfort,MD,7,"Duarte, Lee and Matthews Medical School"
PH-0766,0567756777,Eric,Rojas,Geriatrics,T-026,Barnestown,VI,4,Kramer Group Medical School
PH-0767,2650622923,Cody,Myers,Rheumatology,T-022,West Matthew,AK,15,Myers-Torres Medical School
PH-0768,8433797662,Tony,Wade,Internal Medicine,T-021,Suzanneland,MD,15,"Woods, Roberts and Young Medical School"
PH-0769,7367042549,Roy,Martinez,Geriatrics,T-028,New Julian,VA,14,Roman-Shields Medical School
PH-0770,5971075633,Shirley,Barker,Internal Medicine,T-040,Cynthiafort,WY,28,Peters-Ray Medical School
PH-0771,5325939933,Tracy,Harrison,Hematology,T-002,West Williamville,MS,25,Hanson Inc Medical School
PH-0772,8779417634,Jennifer,Cox,Cardiology,T-003,South Johntown,MD,8,Summers-Olson Medical School
PH-0773,2457598339,Cassie,Phillips,Internal Medicine,T-035,Lake Nicolehaven,AS,6,"Campbell, Gibbs and Henderson Medical School"
PH-0774,0443240061,Miguel,Parsons,Family Practice,T-023,South Connie,OH,25,Wheeler LLC Medical School
PH-0775,1474397429,David,Blanchard,Family Practice,T-019,North Mindyside,NJ,5,Thomas-Decker Medical School
PH-0776,6806562590,Dawn,Nguyen,Hospitalist,T-012,New Brianberg,NM,10,Mcintosh and Sons Medical School
PH-0777,2182315551,Robert,Potter,Cardiology,T-028,Moraleston,NC,36,May-Foster Medical School
PH-0778,2813721433,Brian,Vega,Internal Medicine,T-008,North Dawnbury,NJ,9,Williams and Sons Medical School
PH-0779,2285566084,Travis,Caldwell,Family Practice,T-040,Pierceton,ID,18,"Johnson, Perez and Henry Medical School"
PH-0780,5195826328,Adrian,Burton,Internal Medicine,T-020,Josephstad,NY,6,Moore-Harris Medical School
PH-0781,9453546147,Anthony,Morrison,Oncology,T-007,Harrisville,AZ,16,Ballard-Newton Medical School
PH-0782,3394394570,Deborah,Hall,Geriatrics,T-003,Jaytown,ME,27,Robinson and Sons Medical School
PH-0783,5376576927,Timothy,Carlson,Internal Medicine,T-040,North Christina,FM,38,Farrell PLC Medical School
PH-0784,0040476921,Brian,Lewis,Internal Medicine,T-001,South Judy,MN,8,Ramirez Ltd Medical School
PH-0785,0401424731,Samantha,Garner,Emergency Medicine,T-037,South Gregville,CO,4,"Young, Kane and Riley Medical School"
PH-0786,8440971231,Raymond,Bennett,Oncology,T-019,South Ryanmouth,MT,32,Dudley PLC Medical School
PH-0787,0144734043,Jimmy,West,Cardiology,T-011,Lake Bradleyshire,MP,16,Hansen-Warner Medical School
PH-0788,3045195778,Frank,Hopkins,General Practice,T-021,Jessicaside,FL,30,Moss-Reed Medical School
PH-0789,2965754278,Ricky,Ali,Neurology,T-004,New Jonberg,MA,28,Brewer-Hayes Medical School
PH-0790,8205829582,Melissa,Berry,Emergency Medicine,T-031,Port Heather,CO,27,Gilmore-Mooney Medical School
PH-0791,8081904823,Gabriella,French,Pulmonology,T-003,Wilsonstad,OH,33,Mills-Weiss Medical School
PH-0792,3956137230,Patricia,Costa,Cardiology,T-020,South Drewland,UT,34,Allen-Sullivan Medical School
PH-0793,3813000413,Jacob,Parsons,Internal Medicine,T-005,North Jonville,NE,35,Stanley-Smith Medical School
PH-0794,9456534699,Samantha,Reid,Internal Medicine,T-029,Lake Traviston,NM,9,Bell-Scott Medical School
PH-0795,7681699570,Norman,Estes,Oncology,T-006,South Johnnyland,CO,19,Ramsey Ltd Medical School
PH-0796,1765397054,Angela,Padilla,Rheumatology,T-011,Robinsonchester,CT,2,Sutton PLC Medical School
PH-0797,0871827496,Laurie,Nichols,Oncology,T-009,West Brendahaven,NM,21,Barrera LLC Medical School
PH-0798,2049561213,Timothy,Wright,Internal Medicine,T-022,Parsonsburgh,WI,3,Williams-White Medical School
PH-0799,5973711222,Joy,Potts,Geriatrics,T-030,South Tylerchester,AK,26,"Warren, Benson and Reid Medical School"
PH-0800,1670468611,Christopher,Rich,Internal Medicine,T-028,Thomashaven,PW,26,Knox and Sons Medical School
PH-0801,1021923785,Angela,Woods,Cardiology,T-021,New Robert,OH,35,Hall and Sons Medical School
PH-0802,4260508018,Elizabeth,Richards,Internal Medicine,T-018,West Nicoleberg,MD,11,Valencia and Sons Medical School
PH-0803,3777312688,Michele,Jones,Pulmonology,T-022,Port William,VI,17,Woods Inc Medical School
PH-0804,9236534606,Brad,Flores,Geriatrics,T-011,Johnsonstad,MO,30,Obrien-Camacho Medical School
